image;objectUrl;title;inventoryNumber;autor;category;size;provenance;owner;material;technique;dating;
"http://cyfrowezbiory.muzeum-wilanow.pl:85";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1599";Imbryk z pokryw?;Wil.2067;Sztuka Azji;23,0 x 17,0;Chiny;Muzeum Pa?acu Króla Jana III w Wilanowie;porcelana;XVIII? XIX?;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/193843/C76297_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1610";Wazon z nadstaw?;Wil.2077;nieznany;Sztuka Azji;wazon: 71,0 x 42,0 x 28,0, nadstawa: 31,0 x 40,0 x 37,0;Europa , Chiny;Muzeum Pa?acu Króla Jana III w Wilanowie;porcelana;gwintowanie , wycinanie , walcowanie , z?ocenie , odlew;ok. 1750;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/193842/C49958_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1620";Taoista - figurka;Wil.2087;Sztuka Azji;13,2 x 23,0 x 13,0;Chiny;Muzeum Pa?acu Króla Jana III w Wilanowie;porcelana;szkliwienie;XIX;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/193847/C49980_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1629";Qilin-naczynie na wod?;Wil.2095/1;Sztuka Azji;24,5 x 16,0 x 12,0;Europa , Chiny;Muzeum Pa?acu Króla Jana III w Wilanowie;br?z , porcelana;szkliwienie , z?ocenie;XVIII;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/193848/C10753_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1641";Figurka Guanyin z dzieckiem;Wil.2105;Sztuka Azji;31,0 x 13,5 x 9,5;Chiny;Muzeum Pa?acu Króla Jana III w Wilanowie;porcelana;1662 - 1722;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/169802/C03276_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1661";Hero i geniusz - grupa figuralna;Wil.2117;Jüchtzer Christian Gottfried , Schöne Johann Daniel;Ceramika;53,0 x 33,5 x 26,5;Saksonia , Niemcy , Mi?nia;Muzeum Pa?acu Króla Jana III w Wilanowie;biskwit;wycisk z formy;1796 (II-VI) - model;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/169700/C05204_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1663";Apollo Likajos - figurka;Wil.750;Jüchtzer Christian Gottfried;Ceramika;24,8 x 8,5 x 6,5;Saksonia , Niemcy , Mi?nia;Muzeum Pa?acu Króla Jana III w Wilanowie;biskwit;wycisk z formy;1781 (VIII)? - model;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/193849/C39480_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1676";Wazon porcelanowy montowany w br?z z?ocony;Wil.2129;Sztuka Azji;30,2 x 17,0;Chiny;Muzeum Pa?acu Króla Jana III w Wilanowie;br?z , porcelana;z?ocenie;1723 - 1735;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/193850/C39501_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1684";Flakon z pokrywk?;Wil.2136;Sztuka Azji;26,0;Chiny;Muzeum Pa?acu Króla Jana III w Wilanowie;porcelana;szkliwienie;XVII/XVIII;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/193851/C43799_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1693";Dzbanek z nakryw?;Wil.2142;Sztuka Azji;38,5 x 15,5 x 11,0;Chiny;Muzeum Pa?acu Króla Jana III w Wilanowie;porcelana;szkliwienie , kobalt , mieszana;XVIII;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/193852/C53513_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1695";Kogut - figurka;Wil.2144;Sztuka Azji;25,5 x 21,0 x 14,0;Chiny;Muzeum Pa?acu Króla Jana III w Wilanowie;porcelana;szkliwienie;XIX;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/193853/C29219_copy_v-3_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1717";Dzbanek z pokrywk?;Wil.2169;Sztuka Azji;21,0 x 15,0;Chiny;Muzeum Pa?acu Króla Jana III w Wilanowie;porcelana;kobalt , z?ocenie;XVIII;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/175745/C34801_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1741";Talerzyk;Wil.2190;Ceramika;3,5 x 17,6 x 17,8;Francja , Nevers;Muzeum Pa?acu Króla Jana III w Wilanowie;fajans;2. po?. XVII;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/193854/C53520_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1776";Kobieta - figurka;Wil.2221;Sztuka Azji;46,0;Japonia;Muzeum Pa?acu Króla Jana III w Wilanowie;porcelana;szkliwienie , kobalt , z?ocenie;XVII/XVIII;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/180590/C29865_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1795";Wazon;Wil.2239;De Metalen Pot;Ceramika;36,5 x 16,3 x 16,1;Holandia , Delft;Muzeum Pa?acu Króla Jana III w Wilanowie;fajans;farby podszkliwne;ok. 1700 - 1710 (1691 - 1724);
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/193855/C37970_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1799";Czajnik z pokrywk?;Wil.227;Sztuka Azji;17,5 x 8,0;Chiny;Muzeum Pa?acu Króla Jana III w Wilanowie;mied?;emalia;XVIII;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/180594/C30022_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1812";Kufel;Wil.2250;Ceramika;17,3 x 19,9 x 16,3;Bawaria , Niemcy , Creussen (Kreussen);Muzeum Pa?acu Króla Jana III w Wilanowie;kamionka , cyna;szkliwo solne , nak?adka , farby emaliowe;ok. 1650;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/180595/C30035_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1821";Kufel z pokryw?;Wil.2259;Lehmann Gottfried Wilhelm;Ceramika;28,2 x 17,1 x 14,1;Kamenz , Saksonia , Niemcy , Altenburg;Muzeum Pa?acu Króla Jana III w Wilanowie;kamionka , cyna;szkliwo solne , grawerowanie , nak?adka;ok. 1750 - 1758;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/180593/C08893_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1829";Dzban z 7 elektorami z dat? 1607 (1602?);Wil.2266;Ceramika;44,0 x 21,6 x 19,7;Nadrenia , Belgia , Westerwald , Raeren , Niemcy;Muzeum Pa?acu Króla Jana III w Wilanowie;kamionka , cyna;odcisk stemplem , szkliwo solne , nak?adka;1607 (1602?);
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/169897/C08440_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1854";Imbryk z pokrywk?;Wil.291;Ceramika;11,4 x 21,8 x 11,6;Staffordshire , Anglia;Muzeum Pa?acu Króla Jana III w Wilanowie;kamionka czerwona;nak?adka;1765 - 1770;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/169903/C08446_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1855";Fili?anka;Wil.296;Ceramika;7,4 x 9,3 x 6,8;Staffordshire , Anglia;Muzeum Pa?acu Króla Jana III w Wilanowie;kamionka czerwona;nak?adka;1765 - 1770;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/180598/C34909_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1856";Wazon;Wil.2290;Ceramika;34,3 x 25,7;Saksonia , Niemcy , Mi?nia;Muzeum Pa?acu Króla Jana III w Wilanowie;porcelana;z?ocenie , farby naszkliwne;ok. 1745?;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/180589/C08895_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1879";Pó?misek ze scen? polowania na jelenia;Wil.2308;Ceramika;7,3 x 57,0 x 57,0;Francja , Nevers;Muzeum Pa?acu Króla Jana III w Wilanowie;fajans;farby podszkliwne;kon. XVII;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/180608/C08896_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1912";Talerz z herbem arago?sko-sycylijskim;Wil.2341;Ceramika;6,9 x 44,4;Manises , Hiszpania;Muzeum Pa?acu Króla Jana III w Wilanowie;fajans;szkliwo cynowe , lustr , wycisk z formy;przed 1500;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170383/C28620_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1913";Kufel z pokryw?;Wil.2342;Böttger Johann Friedrich;Ceramika;21,4 x 14,8 x 11,9;Saksonia , Niemcy;Muzeum Pa?acu Króla Jana III w Wilanowie;kamionka czerwona , srebro;szlifowanie , polerowanie , z?ocenie;ok. 1711?;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170385/C14822_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1915";Kufel z pokryw?;Wil.2344;Böttger Johann Friedrich;Ceramika;19,8 x 11,5 x 16,1;Drezno , Saksonia , Niemcy , Mi?nia;Muzeum Pa?acu Króla Jana III w Wilanowie;kamionka czerwona , srebro;szkliwienie , srebrzenie;ok. 1712?;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170386/C29884_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1916";Flaszka z zatyczk?;Wil.2345;Böttger Johann Friedrich , Irminger Johann Jacob;Ceramika;16,0 x 8,5 x 5,5;Drezno , Saksonia , Niemcy , Mi?nia;Muzeum Pa?acu Króla Jana III w Wilanowie;kamionka czerwona , korek , mosi?dz;relief z formy , nak?adka;1710 - 1715?;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170388/C29891_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1917";Flaszka z zatyczk?;Wil.2347;Böttger Johann Friedrich , Irminger Johann Jacob;Ceramika;16,4 x 9,7 x 5,8;Drezno , Saksonia , Niemcy , Mi?nia;Muzeum Pa?acu Króla Jana III w Wilanowie;kamionka czerwona , korek , srebro;szlifowanie , relief z formy , nak?adka , polerowanie;1710 - 1715?;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170387/C08433_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1918";Kufel z pokryw?;Wil.2346;Böttger Johann Friedrich , Schnell Martin;Ceramika;19,2 x 11,4 x 15,7;Drezno , Saksonia , Niemcy , Mi?nia;Muzeum Pa?acu Króla Jana III w Wilanowie;kamionka czerwona;laka saska , szkliwienie , z?ocenie;1710 - 1715 (1710 - 1713?);
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170389/C30046_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1919";Imbryk z pokrywk? (tzw. Eisenporzellan);Wil.2348;Böttger Johann Friedrich , Irminger Johann Jacob;Ceramika;10,0 x 16,8 x 12;Drezno , Saksonia , Niemcy , Mi?nia;Muzeum Pa?acu Króla Jana III w Wilanowie;kamionka czerwona;relief z formy;ok. 1711;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170391/C29742_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1922";Imbryk z pokryw?;Wil.2352;Böttger Johann Friedrich;Ceramika;10,0 x 15,0 x 12,5;Drezno , Saksonia , Niemcy , Mi?nia;Muzeum Pa?acu Króla Jana III w Wilanowie;kamionka czerwona;relief z formy;1710 - 1717?;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170392/C28437_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1943";Imbryk z pokryw?;Wil.2366;Ceramika;10,7 x 22,8 x 10,0;Staffordshire , Anglia;Muzeum Pa?acu Króla Jana III w Wilanowie;kamionka czarna;nak?adka , engine turning;kon. XVIII;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170401/C29927_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1944";Imbryk z pokryw? na ?a?cuszku;Wil.2367;RD , Birch Edmund John;Ceramika;13,3 x 23,4 x 11,0;Hanley , Staffordshire , Anglia;Muzeum Pa?acu Króla Jana III w Wilanowie;kamionka czarna , srebro;nak?adka;kon. XVIII;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170402/C28693_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1955";Dzbanek do kawy;Wil.2377;Böttger Johann Friedrich , Irminger Johann Jacob;Ceramika;17,3 x 16,9 x 11,5;Drezno , Saksonia , Niemcy , Mi?nia;Muzeum Pa?acu Króla Jana III w Wilanowie;kamionka czerwona;relief z formy;1710 - 1715?;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/193840/C08932_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1964";Kieliszek;Wil.2386;Szk?o;12,7 x 7,2;W?ochy , Wenecja;Muzeum Pa?acu Króla Jana III w Wilanowie;szk?o opakowe , szk?o przezroczyste;formowanie r?czne , filigran;XVI;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/174913/C10369_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1970";Patera;Wil.2390;Vorchamer Leonard (Vorchhamer);Srebra;12,0 x 18,0;W?ochy , Genua;Muzeum Pa?acu Króla Jana III w Wilanowie;srebro;z?ocenie;XVIII? XIX?;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/174914/C10380_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1971";Samowar;Wil.2391;Odiot Jean Baptiste Claude;Srebra;61,5 x 32,0;Francja;Muzeum Pa?acu Króla Jana III w Wilanowie;masa per?owa , srebro;wybijanie , nak?adka , z?ocenie , cyzelowanie;1808 - 1819;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/174915/C10360_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1972";Palnik;Wil.2392;Odiot Jean Baptiste Claude;Srebra;8,5 x 24,5;Francja;Muzeum Pa?acu Króla Jana III w Wilanowie;srebro;wybijanie , z?ocenie , cyzelowanie;1808 - 1819;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/174916/C10347_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1973";Czajnik;Wil.2393;Odiot Jean Baptiste Claude;Srebra;18,7 x 27,2;Francja;Muzeum Pa?acu Króla Jana III w Wilanowie;masa per?owa , srebro;wybijanie , nak?adka , z?ocenie , cyzelowanie;1808 - 1819;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/174917/C10392_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1974";Dzbanek;Wil.2394;Odiot Jean Baptiste Claude;Srebra;35,5 x 25,0;Francja;Muzeum Pa?acu Króla Jana III w Wilanowie;masa per?owa , srebro;wybijanie , nak?adka , z?ocenie , cyzelowanie;1808 - 1819;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/174918/C10400_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1975";Dzbanek;Wil.2395;Odiot Jean Baptiste Claude;Srebra;24,5 x 11,2;Francja;Muzeum Pa?acu Króla Jana III w Wilanowie;srebro;wybijanie , nak?adka , z?ocenie , cyzelowanie;1808 - 1819;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/174921/C10410_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1976";Czara;Wil.2397;Odiot Jean Baptiste Claude;Srebra;11,5 x 21,0;Francja;Muzeum Pa?acu Króla Jana III w Wilanowie;srebro;wybijanie , nak?adka , z?ocenie , cyzelowanie;1808 - 1819;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/174923/C42180_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1978";Taca;Wil.2400;Odiot Jean Baptiste Claude;Srebra;3,0 x 58,0 x 100,0;Francja;Muzeum Pa?acu Króla Jana III w Wilanowie;srebro;wybijanie , z?ocenie , cyzelowanie;1808 - 1819;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/174922/C42177_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1979";Taca;Wil.2399;Odiot Jean Baptiste Claude;Srebra;3,0 x 68,0 x 116,0;Francja;Muzeum Pa?acu Króla Jana III w Wilanowie;srebro;wybijanie , z?ocenie , cyzelowanie;1808 - 1819;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/174919/C33796_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1980";Flakon do herbaty;Wil.2396/1;Blaquiere Pierre Noel;Srebra;14,0 x 10,5;Francja;Muzeum Pa?acu Króla Jana III w Wilanowie;szk?o przezroczyste , srebro;z?ocenie , cyzelowanie;1808 - 1819;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/174920/C10206_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1981";Flakon do herbaty;Wil.2396/2;Blaquiere Pierre Noel;Srebra;14,0 x 10,5;Francja;Muzeum Pa?acu Króla Jana III w Wilanowie;szk?o przezroczyste , srebro;z?ocenie , cyzelowanie;1808 - 1819;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/174924/C32002_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1999";?y?eczka do herbaty;Wil.2401/23;Naudin Francois Dominique;Srebra;15,0;Francja;Muzeum Pa?acu Króla Jana III w Wilanowie;srebro;z?ocenie , cyzelowanie;1808 - 1819;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/174925/C12343_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/2017";Podstawa do karafinek na przyprawy;Wil.2411;Hience Antoine;Srebra;29,5 x 27,0 x 13,5;Francja , Pary?;Muzeum Pa?acu Króla Jana III w Wilanowie;srebro;wybijanie , odlew , cyzelowanie;1798 - 1809;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/174927/C10207_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/2018";Podstawa z karafinkami na przyprawy;Wil.2412/1;Biennais Martin Guillaume;Srebra;32,5 x 23,0 x 10,0;Francja;Muzeum Pa?acu Króla Jana III w Wilanowie;szk?o przezroczyste , srebro;wybijanie , odlew , cyzelowanie;1793 - 1819;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/174926/C12375_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/2019";Podstawa z karafinkami na przyprawy;Wil.2412/2;Biennais Martin Guillaume;Srebra;33,0 x 23,0 x 13,5;Francja;Muzeum Pa?acu Króla Jana III w Wilanowie;szk?o przezroczyste , srebro;wybijanie , odlew , cyzelowanie;1793 - 1819;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/174928/C10208_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/2020";Podstawa z karafinkami na przyprawy;Wil.2413;Odiot Jean Baptiste Claude;Srebra;27,5 x 10,0 x 23,0;Francja;Muzeum Pa?acu Króla Jana III w Wilanowie;srebro;wybijanie , odlew;1808 - 1819;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/174983/C10244_copy_v-2_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/2021";Naczynie na jarzyny;Wil.2466;Odiot Jean Baptiste Claude;Srebra;19,5 x 19,5;Francja;Muzeum Pa?acu Króla Jana III w Wilanowie;srebro;wybijanie , odlew;1808 - 1819;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/175027/C36286_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/2022";Waza z pokryw?;Wil.3415;Odiot Jean Baptiste Claude;Srebra;36,0 x 33,0;Francja;Muzeum Pa?acu Króla Jana III w Wilanowie;srebro;wybijanie , odlew , cyzelowanie;1795 - 1809;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/174929/C30647_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/2023";Szkatu?ka;Wil.2414/1;Baschelet Quentin;Srebra;12,0 x 20,3 x 14,5;Francja;Muzeum Pa?acu Króla Jana III w Wilanowie;srebro;wybijanie , nak?adka , odlew , cyzelowanie;1808 - 1819;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/174930/C30656_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/2024";Szkatu?ka;Wil.2414/2;Baschelet Quentin;Srebra;12,0 x 20,3 x 14,5;Francja;Muzeum Pa?acu Króla Jana III w Wilanowie;srebro;wybijanie , nak?adka , odlew , cyzelowanie;1808 - 1819;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/174931/C30667_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/2025";Szkatu?ka;Wil.2415/1;Baschelet Quentin;Srebra;13,5 x 21,5 x 16,0;Francja;Muzeum Pa?acu Króla Jana III w Wilanowie;srebro;wybijanie , nak?adka , odlew , cyzelowanie;1808 - 1819;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/174932/C30677_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/2026";Szkatu?ka;Wil.2415/2;Baschelet Quentin;Srebra;13,5 x 21,5 x 16,0;Francja;Muzeum Pa?acu Króla Jana III w Wilanowie;srebro;wybijanie , nak?adka , odlew , cyzelowanie;1808 - 1819;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/174933/C10226_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/2027";?wiecznik;Wil.2416/1;Baschelet Quentin;Srebra;50,0 x 15,5;Francja;Muzeum Pa?acu Króla Jana III w Wilanowie;srebro;wybijanie , nak?adka , odlew , cyzelowanie;1808 - 1819;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/174944/C30778_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/2028";Dzbanek;Wil.2423;Baschelet Quentin;Srebra;32,5 x 9,0;Francja;Muzeum Pa?acu Króla Jana III w Wilanowie;srebro;wybijanie , nak?adka , odlew , cyzelowanie;1808 - 1819;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/174943/C10237_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/2029";Dzwonek;Wil.2422;Baschelet Quentin;Srebra;9,8 x 6,0;Francja;Muzeum Pa?acu Króla Jana III w Wilanowie;srebro;wybijanie , nak?adka , odlew , cyzelowanie;1808 - 1819;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/174942/C10236_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/2030";Lichtarzyk;Wil.2421;Baschelet Quentin;Srebra;8,0 x 11,0;Francja;Muzeum Pa?acu Króla Jana III w Wilanowie;srebro;wybijanie , nak?adka , odlew , cyzelowanie;1808 - 1819;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/174954/C56120_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/2031";Etui na szczoteczki do z?bów;Wil.2434;Blaquiere Pierre Noel;Srebra;3,5 x 4,0 x 16,0;Francja;Muzeum Pa?acu Króla Jana III w Wilanowie;szk?o przezroczyste , srebro;odlew , cyzelowanie;1808 - 1819, 1818 - 1838;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/174948/C10199_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/2032";Kubek;Wil.2427;Baschelet Quentin;Srebra;8,0 x 7,0;Francja;Muzeum Pa?acu Króla Jana III w Wilanowie;srebro;odlew , cyzelowanie;1808 - 1819;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/174947/C10198_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/2033";Kubek;Wil.2426;Baschelet Quentin;Srebra;5,4 x 4,7;Francja;Muzeum Pa?acu Króla Jana III w Wilanowie;srebro;odlew , cyzelowanie;1808 - 1819;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/174951/C30815_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/2034";Pude?ko;Wil.2431;Baschelet Quentin;Srebra;8,0 x 8,5;Francja;Muzeum Pa?acu Króla Jana III w Wilanowie;srebro;wybijanie , nak?adka , odlew , cyzelowanie;1808 - 1819;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/174952/C30825_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/2035";Pude?ko;Wil.2432;Baschelet Quentin;Srebra;8,0 x 8,2;Francja;Muzeum Pa?acu Króla Jana III w Wilanowie;srebro;wybijanie , nak?adka , odlew , cyzelowanie;1808 - 1819;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/174949/C30799_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/2036";Pude?ko;Wil.2428;Baschelet Quentin;Srebra;3,5 x 12,0 x 17,5;Francja;Muzeum Pa?acu Króla Jana III w Wilanowie;srebro;wybijanie , nak?adka , odlew , cyzelowanie;1808 - 1819;
