image;objectUrl;title;inventoryNumber;autor;category;size;provenance;owner;material;technique;dating;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170541/C46564_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/546";Denhoff Jan Kazimierz (1649-1697) - portret;Wil.1124;szko?a w?oska;Malarstwo obce;67,0 x 54,0, w ramie: 80,5 x 68,5 x ok.7,5;W?ochy;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;po 1686;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170562/C22167_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/556";Królewicz W?adys?aw Waza (1595-1648) - portret;Wil.1134;Soutman Pieter Claesz.;Malarstwo polskie;206,0 x 127,5, w ramie: 225,0 x 142,0 x 7,0;Flandria;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;1642;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170582/C10012_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/557";Gosiewski Wincenty (zm. 1662) - portret;Wil.1135;szko?a flamandzka;Malarstwo obce;73,0 x 65,0;Flandria;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;ok. po?. XVII;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170587/C29515_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/560";Ludwik XIV (1638-1715) - portret;Wil.1138;Rigaud Hiacinthe;Malarstwo obce;151,0 x 116,0;Francja;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;XVII/XVIII;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170608/C13468_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/564";Jan Konrad III Rudy Mazowiecki (1448/50-1503) - portret;Wil.1141;nieznany;Malarstwo polskie;97,0 x 82,5, w ramie: 104,5 x 96,0;Polska;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;1. po?. XVI;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170626/C10738_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/565";Pac Kazimierz Micha? (zm. 1719) - portret;Wil.1142;malarz gda?ski;Malarstwo polskie;71,0 x 54,0;Polska , Gda?sk;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;1677 - 1680;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170638/C10081_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/568";Jan Kazimierz (1609-1672) - portret;Wil.1145;malarz polski;Malarstwo polskie;73,0 x 60,0;Polska;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;2. po?. XVII;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170673/C13490_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/576";Maria Kazimiera Sobieska (1641-1716) z córk? Teres? Kunegund? - portret;Wil.1152;Szymonowicz-Siemiginowski Jerzy Eleuter;Malarstwo polskie;160,0 x 125,0, w ramie: 186,5 x 145,5;Polska;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;ok. 1690;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170705/C12423_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/578";Jan III Sobieski (1629-1696) z synem Jakubem - portret;Wil.1154;Szymonowicz-Siemiginowski Jerzy Eleuter;Malarstwo polskie;160,8 x 123,5, w ramie: 188,5 x 147,3;Polska;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;ok. 1690;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170719/C14371_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/580";Wi?niowiecka Eleonora Maria (1653-1697) - portret;Wil.1156;szko?a francuska;Malarstwo obce;166,0 x 110,0;Francja;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;1670 - 1675;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170722/C10739_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/582";Micha? Korybut Wi?niowiecki (1638-1673) - portret;Wil.1158;malarz polski;Malarstwo polskie;83,0 x 68,0;Polska;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;po 1669;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170723/C13469_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/585";Anna Jagiellonka (1523-1596) - portret;Wil.1160;Kober Marcin;Malarstwo polskie;104,0 x 85,7, w ramie: 19,5 x 101,5 x 7,0;Polska , Wroc?aw;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;po 1586;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170739/C13470_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/588";Stefan Batory (1533-1586) - portret;Wil.1163;malarz polski;Malarstwo polskie;108,5 x 73,8, w ramie: 121,0 x 86,5 x ok.8,0;Polska;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;4. ?w. XVI;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170749/C10007_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/589";Zygmunt III (1566-1632) - portret;Wil.1164;malarz dworski;Malarstwo polskie;207,0 x 127,0;Polska;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;ok. 1630;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170769/C14987_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/591";Sieniawska El?bieta z Lubomirskich (ok.1666-1729) - portret;Wil.1166;malarz saski;Malarstwo polskie;141,0 x 110,0;Saksonia , Niemcy;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;przed 1725;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170773/C12421_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/592";Ostrogski Konstanty, ksi??? (zm. 1615) - portret;Wil.1167;malarz polski;Malarstwo polskie;178,0 x 113,0;Polska;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;1. po?. XVII;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170791/C45950_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/597";Potocki Eustachy (1720-1768) - portret;Wil.1170;malarz polski;Malarstwo polskie;61,0 x 51,0;Polska;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;ok. po?. XVIII;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170825/C13476_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/600";Potocki Stanis?aw Rewera (1579-1667) - portret;Wil.1173;malarz polski;Malarstwo polskie;65,5 x 57,5, w ramie: 76,2 x 65,0 x 5,0;Polska;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;ok. 1667;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170837/C10080_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/601";Mohylanka Anna (zm.1666) - portret;Wil.1174;malarz francuski;Malarstwo polskie;64,0 x 52,0;Francja;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;ok. 1666;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170840/C13477_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/603";Potocki Andrzej (zm.1692) - portret;Wil.1176;malarz polski;Malarstwo polskie;65,2 x 53,5, w ramie: ok. 95,5 x 80,0 x 12,0;Polska;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;ok. 1680;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170841/C31859_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/604";Potocki Aleksander (1776-1845) - portret;Wil.1177;Kokular Aleksander;Malarstwo polskie;141,0 x 112,0;Polska;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;1841;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170842/C16867_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/605";Sanguszkowa Natalia z Potockich (1807-1830) - portret;Wil.1178;Ender Johann;Malarstwo obce;122,2 x 91,5;Wiede? , Austria;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;1829;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170849/C11174_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/606";Potocki August (1806-1867) - portret;Wil.1179;Ender Johann;Malarstwo obce;121,0 x 90,0;Wiede? , Austria;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;1829;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170855/C14372_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/607";Kwiaty na tle parku;Wil.1180;Fontenay Belin de;Malarstwo obce;67,5 x 142,0, w ramie: 75,7 x 150,2 x 4,7;Francja;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;przed 1715;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170862/C14373_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/608";Kwiaty na tle ruin;Wil.1181;Fontenay Belin de;Malarstwo obce;70,0 x 139,8, w ramie: 77,9 x 147,1 x 4,5;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;1. ?w. XVIII;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170868/C16875_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/614";Lubomirski Józef (1751-1817) - portret;Wil.1187;malarz polski;Malarstwo polskie;60,0 x 50,0;Polska;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;2. po?. XVIII;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170869/C10053_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/618";Poniatowski Kazimierz (1721-1800) - portret;Wil.1190;malarz polski;Malarstwo polskie;64,0 x 53,0, w ramie: 72,8 x 63,5 x 5,5;Polska;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;ok. 1780;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170874/C69225_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/631";Potocki August (1806-1867) - portret;Wil.1202;malarz polski;Malarstwo polskie;28,0 x 25,0;Polska;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;ok. 1830;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170876/C46212_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/641";Bruehlowa Maria Anna z Kolowratów (1717-1762) - portret;Wil.1211;Silvestre Louis de;Malarstwo obce;79,8 x 65,6, w ramie: 86,5 x 73,2 x 4,7;Drezno , Saksonia , Niemcy;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;ok. 1742;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170879/C87184_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/644";?w. Rodzina ze ?w. Janem;Wil.1214;szko?a w?oska;Malarstwo obce;32,0 x 23,0;W?ochy;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;XIX;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170881/C36979_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/651";Lubomirski Teodor (1683-1745) - portret;Wil.1220;malarz dzia?aj?cy w Polsce;Malarstwo polskie;211,0 x 111,0;Polska;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;po 1730;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170884/C13481_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/655";Tar?o Jan Aleksander (zm.1680?) - portret;Wil.1224;malarz polski;Malarstwo polskie;77,0 x 63,0;Polska;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;1. po?. XVIII;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170919/C84889_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/663";Potocki Stanis?aw (zm.1683) - portret;Wil.1231;malarz polski;Malarstwo polskie;205,0 x 98,0;Polska;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;po 1683;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170935/C12468_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/666";Szczuka Antoni Stanis?aw (1654-1710) - portret;Wil.1234;malarz polski;Malarstwo polskie;211,0 x 123,0;Polska;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;ok. 1750;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170948/C14909_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/681";Piramowicz Grzegorz (1735-1801) - portret;Wil.1248;malarz polski;Malarstwo polskie;48,0 x 40,0, w ramie: 64,6 x 55,3 x 7,5;Polska;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;przed 1797;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170950/C61255_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/687";Lubomirski Józef (zm.1732) - portret;Wil.1254;malarz saski;Malarstwo obce;55,5 x 48,5, w ramie: 67,0 x 61,0 x 4,0;Saksonia , Niemcy;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;1. ?w. XVIII;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/170954/C84818_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/692";August II (1670-1733) - portret;Wil.1259;Pesne Antoine, warsztat;Malarstwo obce;204,0 x 168,0, w ramie: 230,0 x 174,0;Niemcy , Berlin;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;1. po?. XVIII;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/171034/C13474_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/695";Lubomirski Konstanty (zm.1665) - portret;Wil.1261;malarz gda?ski;Malarstwo polskie;105,0 x 92,0;Polska , Gda?sk;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;po 1636, przed 1645;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/171057/C28355_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/698";Sieniawscy - portret zbiorowy;Wil.1264;malarz polski;Malarstwo polskie;106,0 x 144,0;Polska;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;1724 - 1726;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/171108/C14374_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/703";Czartoryski August Aleksander (1697-1782) - portret;Wil.1269;malarz polski;Malarstwo polskie;60,0 x 50,0;Polska;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;2. ?w. XVIII;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/171110/C13502_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/714";K?tski Jan Stanis?aw (zm.1728) - portret;Wil.1279;Silvestre Louis de;Malarstwo obce;80,0 x 64,0;Francja , Drezno , Saksonia , Niemcy;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;ok. 1712;
